date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:23	81191/81191	---MCZ	200	added ('OK')	text/html	etag:%2213d27-6965fea3-3e0cd47acb0c4fbb;gz%22	https://softivuspro.com/bankhub-html/index.html	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/index.html	(from )
01:02:24	137/137	---M-Z	200	added ('OK')	text/plain	etag:%2233a-6980612a-b2054c3cf0a0be9;gz%22	https://softivuspro.com/robots.txt		(from )
01:02:25	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-6965fea3-2dc2e13423e94e79;gz%22	https://softivuspro.com/bankhub-html/assets/images/favicon.ico	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/favicon.ico	(from https://softivuspro.com/bankhub-html/index.html)
01:02:25	3493/3493	---M-Z	200	added ('OK')	text/css	etag:%22da5-6965fea3-902cfa2f4e2e4c79;gz%22	https://softivuspro.com/bankhub-html/assets/css/nice-select2.css	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/css/nice-select2.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:26	60/60	---M--	302	error ('Found')	text/plain	date:Sat,%2023%20May%202026%2000:02:26%20GMT	https://unpkg.com/js-datepicker/dist/datepicker.min.css	C:/My%20Web%20Sites/ewbcreditbankhub/unpkg.com/js-datepicker/dist/datepicker.min.3.delayed	(from https://softivuspro.com/bankhub-html/index.html)
01:02:26	5688/5688	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Mar%202026%2011:55:40%20GMT	https://unpkg.com/js-datepicker@5.18.4/dist/datepicker.min.css	C:/My%20Web%20Sites/ewbcreditbankhub/unpkg.com/js-datepicker@5.18.4/dist/datepicker.min.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:27	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-6965fea3-ae9d5c4414099bae;gz%22	https://softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:28	13867/13867	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-362b%22	https://cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	C:/My%20Web%20Sites/ewbcreditbankhub/cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:28	51/51	---M--	302	error ('Found')	text/plain	date:Sat,%2023%20May%202026%2000:02:28%20GMT	https://unpkg.com/tippy.js@6/animations/scale.css	C:/My%20Web%20Sites/ewbcreditbankhub/unpkg.com/tippy.js@6/animations/scale.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:29	394/394	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202026%2014:05:17%20GMT	https://unpkg.com/tippy.js@6.3.7/animations/scale.css	C:/My%20Web%20Sites/ewbcreditbankhub/unpkg.com/tippy.js@6.3.7/animations/scale.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:29	3670/3670	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e56-6965fea3-73d0825f4ed25a61;gz%22	https://softivuspro.com/bankhub-html/assets/js/app.js	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/js/app.js	(from https://softivuspro.com/bankhub-html/index.html)
01:02:30	209477/209477	---M-Z	200	added ('OK')	text/css	etag:%2233245-6965fea3-85c4fe57e2f28840;gz%22	https://softivuspro.com/bankhub-html/assets/css/style.css	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/css/style.css	(from https://softivuspro.com/bankhub-html/index.html)
01:02:31	4102/4102	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:30%20GMT	https://softivuspro.com/bankhub-html/assets/images/logo-with-text.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/logo-with-text.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:31	2882/2882	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:31%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-3.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/user-3.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:32	2874/2874	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:32%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-4.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/user-4.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:33	2935/2935	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:32%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-5.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/user-5.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:33	2892/2892	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:33%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-7.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/user-7.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:34	69239/69239	---MCZ	200	added ('OK')	text/html	etag:%2210e77-6965fea3-42ba36fadd8c1baf;gz%22	https://softivuspro.com/bankhub-html/chat.html	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/chat.html	(from https://softivuspro.com/bankhub-html/index.html)
01:02:35	9684/9684	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202026%2000:02:34%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-big-4.png	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/assets/images/user-big-4.png	(from https://softivuspro.com/bankhub-html/index.html)
01:02:35	60645/60645	---MCZ	200	added ('OK')	text/html	etag:%22ece5-6965fea3-f70c91ee1436411b;gz%22	https://softivuspro.com/bankhub-html/profile.html	C:/My%20Web%20Sites/ewbcreditbankhub/softivuspro.com/bankhub-html/profile.html	(from https://softivuspro.com/bankhub-html/index.html)
